Method,File_Size_Bytes,Time_Taken_Seconds,TOPSIS_Score
AES,741871701,36.3444,0.19700127183285973
AES,821580220,36.5231,0.19797005500433162
AES,924280634,54.310500000000005,0.29440057422223576
AES,996664042,49.983999999999995,0.27094539575903914
DES,28318,0.0193,7.264518465430109e-05
DES,98870,0.0454,0.00021414065625708156
DES,352742,0.0753,0.000376237001120037
DES,16024794,2.8658,0.015504325641256396
DES,72636361,13.1755,0.07139612118084206
DES,155632156,32.0993,0.17398738576002587
DES,194722563,37.4724,0.20311647842166952
DES,206620493,41.5945,0.22546354675476613
DES,231067053,45.6874,0.24765231364070558
DES,249062043,49.4457,0.2680271194232623
DES,252210764,49.4673,0.26814421912389913
DES,267547480,52.5032,0.2846026904740478
DES,290716067,60.0634,0.3255886699534095
DES,292568621,49.9231,0.27061523965863266
DES,304138972,64.4875,0.3495729655824463
DES,333093498,63.5881,0.34469706415870915
DES,371659301,69.0485,0.3742994347770932
DES,375070496,76.6924,0.41573917559642243
DES,390131128,85.6913,0.4645247541177351
DES,675074379,141.528,0.7672312751615271
DES,741871701,136.8773,0.7420185169322915
DES,821580220,159.4455,0.8643671032244704
DES,924280634,168.6909,0.914489027866476
DES,996664042,184.4641,1.0
RC4,28318,0.0075,8.674051899021024e-06
RC4,98870,0.2383,0.001259906038332804
RC4,352742,0.0468,0.00022173045166872494
RC4,16024794,1.092,0.00588805485470421
RC4,72636361,3.404733333333333,0.018426035455909973
RC4,155632156,5.8296,0.03157192252770546
RC4,194722563,6.6762,0.03616158023877496
RC4,206620493,12.6391,0.06848814528169525
RC4,231067053,7.463800000000001,0.04043138228606807
RC4,249062043,11.7568,0.06370494778762886
RC4,252210764,8.7968,0.047657951774439954
RC4,267547480,8.0553,0.0436380708474874
RC4,290716067,9.5461,0.05172011870440023
RC4,292568621,9.06915,0.049134438046126445
RC4,304138972,13.6437,0.0739343656177931
RC4,333093498,9.2456,0.05009102333211535
RC4,371659301,15.4771,0.08387374483758381
RC4,375070496,9.9254,0.05377641113271191
RC4,390131128,13.0816,0.07088706276001827
RC4,486937960,16.9175,0.0916825600596775
RC4,675074379,36.9164,0.20010224538675972
RC4,741871701,38.4974,0.20867329291947986
RC4,821580220,33.2373,0.18015680517320456
RC4,924280634,51.0072,0.27649245194846317
RC4,996664042,54.6459,0.296218872351568
